,moves,explanation
71,d4 Nf6 e3 g6 f4 Bg7 Nf3 d5 c4 O-O Nc3 c6 Bd3 e6 Qc2 Na6 a3 c5 cxd5 exd5 O-O c4 Be2 Bf5 Qd1 Nc7 Ne5 Ne4 Nxe4 Bxe4 Bf3 Bxf3 Rxf3 f6 Ng4 h5 Nf2 f5 Rg3 Kh7 Nh3 h4 Ng5+ Kh6 Rh3 Bf6 Rxh4+ Kg7 Rh7+ Kg8 Rh6 Bxg5 Rxg6+ Kf7 Rxg5 Ke6 Qh5 Rf6 Bd2 Qh8 Rf1 Qxh5 Rxh5 Rg8 Rf3 Rfg6 g3 Ne8 Rh7 Nd6 Bb4 Ne4 Rxb7 c3 Bxc3 Nxc3 bxc3 Ra8 Rf1 Rgg8 Rfb1 Rgd8 Rh7 Rdc8 Rbb7 Rxc3 Rh6#,
72,e4 e6 d4 d5 e5 c5 dxc5 Bxc5 Nf3 Nc6 c3 Qc7 b4 Bb6 Na3 a6 Qa4 Bd7 b5 Nxe5 Bf4 Nd3+ Bxd3 Qxc3+ Ke2 Qb2+ Bc2 Ne7 Rhb1 Qf6 Be5 Qh6 Qg4 Ng6 Bd4 e5 Qg5 exd4 Qxd5 Nf4+ Kf1 Nxd5 Re1+ Kd8 Ne5 Qf4 g3 Qf6 Nxd7 Kxd7 Red1 d3 Rxd3 Qxf2#,
73,d4 d5 Bf4 Nc6 e3 Nf6 Nf3 Bg4 h3 Bh5 c4 e6 Nbd2 Bb4 a3 Bxd2+ Qxd2 Bxf3 gxf3 O-O b4 Nh5 b5 Nxf4 bxc6 Ng6 cxb7 Rb8 Rb1 c6 c5 Re8 Ba6 e5 Ke2 exd4 Qxd4 Qa5 Bd3 Re7 h4 Ne5 h5 Nxd3 Kxd3 Rexb7 Rxb7 Rxb7 Rg1 Qxa3+ Kc2 Qa2+ Kd3 Rb3+,
74,e4 e6 d4 d5 exd5 exd5 Bd3 Bd6 h3 Ne7 Nf3 O-O O-O Bf5 a3 Nbc6 Re1 Re8 b3 Ng6 Bxf5 Qf6 Bxg6 hxg6 Nc3 Rxe1+ Qxe1 Nxd4 Nxd4 Qxd4 Rb1 Kf8 Nb5 Re8 Qxe8+ Kxe8 Nxd4,
75,d4 e6 Bf4 h6 Nf3 d6 e4 Qf6 Qd2 Nc6 Bb5 Bd7 Nc3 a6 Bxc6 bxc6 e5 Qd8 exd6 cxd6 O-O Nf6 Rae1 Be7 a4 d5 Ne5 Bb4 b3 Ne4 Qd3 Bxc3 Rxe4 dxe4 Qxc3 Rc8 Nxd7 Qxd7 d5 cxd5 Qxg7 Rf8 Bxh6 Qe7 c3 Rg8 Qxg8+ Kd7 Qg7 Rxc3,
76,d4 Nf6 Bf4 d5 Nf3 e6 c4 Bd6 Bg3 Bxg3 hxg3 h6 Nbd2 c5 e3 cxd4 exd4 Nc6 cxd5 exd5 Bb5 Qe7+ Qe2 Qxe2+ Bxe2 a6 Rc1 O-O Nb3 Ne4 Nc5 Nxc5 dxc5 Be6 O-O Rac8 a3 a5 Bb5 Bg4 Bxc6 bxc6 Ne5 Be6 f4 f5 Ng6 Rfe8 Rf3 Bf7 Ne5 Re7 Nxf7 Rxf7 Rb3 Ra7 Rb6 Kf7 Re1 a4 Kh2 Rcc7 Kh3 Ra5 Rc1 Rb5 Rxb5 cxb5 Kh4 g6 g4 fxg4 Kxg4 Kf6 g3 h5+ Kf3 Kf5 Ke3 Kg4 Kf2 Rc6 Rc3 h4 gxh4 Kxf4 Rf3+ Ke4 Rg3 Rxc5 Rxg6 Rc2+ Kg3 Rxb2 h5 Rb3+ Kg4 Rxa3 h6 Ra1 Rg5 Rh1 Rh5 Rg1+ Kh3 d4 h7 Rh1+ Kg4 Rg1+ Kh3 Kf4 Rh4+ Kf3 Rf4+ Kxf4 Kh2 Re1 h8=Q d3 Qd4+ Re4 Qxd3 b4 Qd2+ Ke5 Qg5+ Kd4 Qa5 Re2+ Kg3,
77,e4 e6 Qe2 c5 Nf3 Nc6 g3 g6 Bg2 Bg7 O-O Nge7 c3 O-O d3 b6 Na3 a6 Re1 d6 Nc4 b5 Ne3 b4 Qc2 bxc3 bxc3 Nb4 Qd2 a5 Rb1 Nbc6 Ng5 h6 Nf3 Ba6 Ba3 a4 d4 Qa5 e5 cxd4 cxd4 Qxd2 Nxd2 Nxd4 Bxa8 Nc2,
78,d4 d5 Bf4 Nf6 Nf3 e6 e3 Bd6 Bg3 O-O Bd3 b6 Nbd2 Bb7 a3 Nbd7 c4 Bxg3 hxg3 Re8 Qb1 h6 e4 dxe4 Nxe4 e5 d5 c6 Nd6 e4 Nxe8 Qxe8 Bxe4 cxd5 cxd5 Ba6 Nd2 Nc5 f3 Qe5 Kd1 Qd4 Rh4 Qf2 Kc2 Rc8 Bd3,
79,e4 e6 f4 d5 e5 c5 Nf3 Nc6 c3 Nh6 d4 cxd4 cxd4 Qa5+ Bd2 Bb4 Nc3 Nf5 Bb5 Bxc3 Bxc6+ bxc6 Bxc3 Qb6 O-O Ne3 Qe2 Nxf1 Rxf1 Ba6 Qf2 Bxf1 Qxf1 c5 dxc5 Qxc5+ Bd4 Qa5 a3 Rc8 h3 O-O Qd3 Rc1+ Kh2 Rfc8 Ng5 g6 Qg3 Qe1 Qxe1 Rxe1 Bxa7 Rc2 b4 Ree2 b5 Rxg2+ Kh1 Ra2 b6 Rgb2 a4 Ra1#,
80,d4 d5 Bf4 Nf6 e3 g6 Nf3 Bg7 c4 dxc4 Bxc4 O-O Qb3 e6 O-O c6 Nbd2 b5 Bd3 Bb7 a4 a6 Ne4 Nxe4 Bxe4 Qe7 Ne5 Bxe5 Bxe5 Nd7 Bg3 Ra7 axb5 cxb5 Bxb7 Rxb7 Rxa6 Nf6 Bd6 Qd7 Bxf8 Kxf8 Ra8+ Kg7 Rc1 Qd6 Rc5 Ng4 g3 e5 dxe5 Qd2 Rc2 Qe1+ Kg2 Rd7 e6 Rd2 Qc3+ Kh6 Qxd2,
81,d4 Nf6 Bf4 d5 Nf3 Nc6 e3 Bg4 h3 Bh5 c4 e6 Qa4 Ne4 c5 Be7 Ne5 O-O g4 Bg6 h4 Nxe5 dxe5 Nxc5 Qd4 Be4 Rh2 c6 Nd2 h6 b4 Na4 a3 Bxh4 Bd3 Qb6 Qxb6 axb6 Bxe4 dxe4 Rxh4 Nc3 g5 c5 gxh6 gxh6 Bxh6 Rfc8 Nc4 Ra6 Nd6 Rc7 Ne8 Rc8 Nf6+ Kh8 Bf8#,
82,c4 Nc6 d4 g6 e3 Bg7 Nc3 d6 Bd2 Bf5 Nf3 Bg4 Be2 Bxf3 Bxf3 e5 dxe5 Nxe5 O-O Ne7 b3 Nf5 Be4 Qg5 Nd5 Kd7 f4 Qg4 fxe5 Qxd1 Raxd1 Bxe5 Bxf5+ gxf5 Rxf5 Raf8 Bc3 Bxc3 Nxc3 Re8 Rxf7+ Kc8 Nd5 c6 Nf6 Rxe3 Rxd6 Re1+ Kf2 Rhe8 h3,
83,a4 e5 h4 d5 b3 Nc6 e3 Bf5 Bb5 Ne7 g4 Bd7 Bxc6 Bxc6 d4 e4 b4 a6 c3 g6 Ra2 Bg7 Nd2 O-O f3 Qd7 Nh3 b5 a5 f5 Ng5 Bh6 fxe4 fxe4 Nf1 Bxg5 hxg5 Rf7 Rah2 Raf8 Ng3 Bb7 Rh4 Nc8 Qe2 Nd6 R1h3 Nc4 Qh2 Qe7 Rh6 Rg7 Ke2 Rff7 Bd2 Qxg5 Be1 Qxg4#,
84,d4 d5 Bf4 Nc6 Nf3 f6 e3 g5 Bg3 Be6 c3 Bf7 Bb5 a6 Bxc6+ bxc6 Qa4 Qd7 O-O Bg6 Rd1 Kf7 Nbd2 e6 c4 Ne7 c5 Nf5 h3 Nxg3 fxg3 h5 Rf1 Kg7 Qd1 Qe7 Rf2 e5 dxe5 fxe5 Qf1 Qxc5 Nxe5 Qxe3 Re1 Qd4 Nxg6 Re8 Nxh8 Rxe1 Qxe1 Kxh8 Qe8 Kg8 Qf7+ Kh8 Kh2 Qg7 Qxf8+ Qxf8 Rxf8+ Kg7 Rc8 g4 Rxc7+ Kf8 h4 a5 Rxc6 d4 Rd6,
85,d4 c6 Bf4 e6 Nf3 d5 Nbd2 c5 e3 cxd4 Nxd4 a6 c4 Nf6 Bd3 h6 O-O Bd6 Bxd6 Qxd6 cxd5 Qxd5 Bc4 Qd6 Rc1 O-O Qb3 b5 Be2 Bb7 Nc4 Qd5 Bf3 Ne4 Nb6 Qxb3 Nxb3 Ra7 Rc7 f5 Rd1 Nc6 Bxe4 fxe4 Rdd7 Kh8 Rxg7 Ba8 Rxa7 Nxa7 Rxa7 Bd5 Nxd5 exd5 Rd7 Rc8 Rxd5 Rc2 Rd2 Rc8 f3 exf3 gxf3 h5 Rd5 Rc2 Rxh5+ Kg7 Rg5+ Kh7 Rg2 Rc7 f4 Ra7 e4 a5 e5 a4 Nd4 b4 e6 a3 b3 Rc7 Rc2 Rg7+ Kf2 Re7 f5 Kg7 Nc6 Rc7 Kf3 Kf6 Kf4 Rc8 h4 Rc7 e7 Rc8 h5 Kf7 Nd8+ Kxe7 Rxc8 Kd7 Rb8 Kc7 Rxb4 Kxd8 h6 Ke7 h7 Kf6,
86,e4 e6 d4 d5 Nc3 Bb4 e5 c5 a3 Bxc3+ bxc3 cxd4 cxd4 Ne7 f4 Nbc6 Nf3 Nf5 c4 O-O g4 Nfe7 Bd3 g6 f5 exf5 gxf5 Nxf5 cxd5 Ncxd4 Nxd4 Nxd4 Bc4 Qh4+ Kf1 Bh3+ Kg1 Qg5+ Bxg5,
87,d4 Nf6 Bf4 d5 Nf3 Bf5 e3 c6 Nbd2 Qb6 b3 Nbd7 h3 Be4 Nxe4 Nxe4 Bd3 Nc3 Ne5 Nxd1,
88,d4 d5 Bf4 e6 Nf3 c5 e3 Bd6 Bg3 Bxg3 hxg3 cxd4 exd4 a6 c3 Nf6 Bd3 Nbd7 Nbd2 b5 Ne5 Nxe5 dxe5 Nd7 f4 Bb7 Rh2 Qb6 Nf3 g6 Qd2 Rc8 Rc1 O-O f5 exf5 Qh6 Rfe8 Qxh7+ Kf8 Ng5 Qe3+ Be2 Qxc1+ Kf2 Qxg5 Qh8+ Ke7,
89,e4 e6 Nf3 d5 exd5 exd5 d4 Bg4 Be2 Qe7 O-O Nc6 Re1 O-O-O Bb5 Qf6 Re3 Bxf3 Rxf3 Qxd4 Rd3 Qc5 Nc3 Nf6 Be3 Qd6 a4 h5 Qe2 Ng4 Bg5 Qxh2+ Kf1 Qh1#,
90,d4 d5 Bf4 Nf6 Nf3 h6 e3 e6 Bd3 Nc6 Nbd2 a6 c3 Bd6 Bg3 Bxg3 hxg3 O-O Qc2 g6 Rxh6 Re8 Nh4 e5 Nxg6 fxg6 Bxg6 Re6 Bh7+ Kf7 Qg6+ Ke7 Qg7+ Kd6 Bf5 Re7 Rxf6+ Re6 Bxe6 Bxe6 O-O-O exd4 exd4 Ne7 Re1 c5 Rexe6+ Kd7 dxc5 Rc8 Rd6+,
91,e4 e6 Nc3 d5 exd5 exd5 Nf3 Nf6 Bb5+ c6 Na4 cxb5 Qe2+ Be6 Qxb5+ Qd7 Nc3 a6 Qd3 Nc6 O-O Nb4 Qe2 d4 Ne4 Nxc2 Nxf6+ gxf6 Rb1 Rg8 d3 Nb4 a3 Nd5 Nxd4 Kd8 Nxe6+ fxe6 Rd1 Qc6 g3 f5 Qh5 Nf6 Qh4 Be7 Bg5 e5 d4 e4 d5 Qd6 Bf4 Nxd5 Qxh7 Qg6 Rxd5+ Ke8 Qxg6+ Rxg6 Rxf5 Rc8 Re5 Rc4 b3 Rd4 Be3 Rd3 Rxe4,
92,d4 d5 Bf4 c5 e3 cxd4 exd4 e6 Nf3 Nc6 c3 h6 Qa4 Bd7 Bb5 g5 Bg3 g4 Ne5 Nxe5 Bxe5 a6 Bxd7+ Qxd7 Qxd7+ Kxd7 Bxh8 Ne7,
93,d4 d5 Bf4 Nf6 Nf3 c5 e3 Bg4 Nbd2 cxd4 Bb5+ Nc6 exd4 Qb6 Bxc6+ bxc6 Nb3 e6 c3 Be7 h3 Bh5 g4 Bg6 Ne5 O-O h4 h6 g5 Nh5 Nd7 Qb5 Nxf8 Bxf8 Be3 Re8 gxh6 gxh6 Rg1 Kh7 f4 Nf6 Qd2 a5 a4 Qxb3 Ke2 Qc4+ Ke1 Bg7 Qg2 Rg8 Qh2 Qd3 Kf2 Ne4+ Kg2 Qxe3 Rae1 Qd2+ Kh1 Nf2+,
94,d4 Nf6 Nf3 b6 c3 Bb7 Qb3 e6 Ne5 Nc6 Bg5 Be7 Bxf6 Nxe5 f4 Bd5 c4 Bxc4 Bxe7 Qxe7 Qg3 Qb4+ Nc3 Ng6 f5 exf5 O-O-O O-O d5 f4 a3 Qc5 Qg5 f6 b4 Qe7 Qg4 Qe3+ Kb2 Ne5 Rd3 Nxg4 Rxe3 Nxe3 g3 Nxf1 Rxf1 fxg3 hxg3 Rae8 Rf4 Bxe2 Nb5 Bxb5 Rd4 Re2+ Kc3 Rfe8 d6 R8e3+ Rd3 Rxd3#,
95,d4 e6 Bf4 d5 Nf3 Qe7 e3 c5 c3 cxd4 Bb5+ Bd7 Bxd7+ Nxd7 exd4 g6 Qa4 a6 Ne5 b5 Qd1 Bg7 Qe2 Ngf6 Nc6 Qf8 Nd2 Nh5 Be5 Bxe5 Nxe5 Qe7 Ndf3 O-O Nxd7 Qxd7 Ne5 Qe7 g4 Nf4 Qf3 Qg5 h4 Qh6 g5 Qg7 Qxf4 f6 Ng4 fxg5 Qxg5 Rf5 Qe3 Kh8 Qxe6 h5 Ne3 Rf4 Nxd5 Rf5 Ne7 Re8 Nxg6+ Qxg6 Qxe8+ Qxe8+ Kf1 Qe3 Rh2 Qd3+ Kg1 Qc2 f3 Qxb2 Rxb2 Rxf3 Rf1 Rxc3 Re2 Rc4 Rf7 Kg8 Ra7 Rxd4 Re8#,
96,d4 Nf6 Bf4 d5 Nf3 Nc6 e3 Nh5 Bg3 Nxg3 hxg3 e6 Bb5 Bd7 Bxc6 Bxc6 Ne5 Bb5 a3 Bd6 Nc3 Ba6 b4 b5 f4 O-O Qh5 h6 g4 Qf6 g5 Qf5 Rc1 Rad8 g4 Qh7 gxh6 Qg6,
97,e4 e5 Bc4 Nc6 d3 Nf6 Nf3 Bc5 Ng5 d6 Nxf7 Qe7 Nxh8 Be6,
98,d4 d5 c4 Nf6 Nc3 Bf5 Bf4 a6 Nf3 e6 a3 Nc6 e3 Bg4 h3 Bxf3 Qxf3 Bd6 Bd3 Bxf4 Qxf4 O-O cxd5 Nxd5 Nxd5 Qxd5 Qe4 Qxe4 Bxe4 Rad8 Bxc6 bxc6 Rc1 Rd6 Ke2 Re8 Rhd1 Rb8 b4 Rb5 Rc4 a5 Rdc1 axb4 axb4 Rb6 f4 Kf8 Kd3 Ke8 e4 f6 e5 fxe5 fxe5 Rd5 Rxc6 Rxb4 R1c4 Rxc4 Kxc4 Kd7 Ra6 Kc8 Rxe6 Rd7 d5 Rf7 Re8+ Kb7 e6 Rf2 e7 Re2 Kd4 h6 g4 g5 d6 cxd6 Kd5 Kc7 Rh8 Rxe7 Rxh6 Re3 h4 gxh4 Rxh4 Rd3+ Ke4 Ra3 Kf5 Ra5+ Kf4 d5 g5 Ra4+ Kg3 Rxh4 Kxh4 Kd7 g6 Ke7 g7 Kf7 Kg5 Kxg7 Kf5 d4 Ke4 d3 Kxd3,
99,d4 d5 c4 Nf6 Nc3 dxc4 e3 Be6 Nf3 a6 b3 cxb3 axb3 Nc6 Bc4 Nd5 Nxd5 Bxd5 O-O h6 Re1 e6 e4 Bxc4 bxc4 Bb4 Re2 Be7 d5 exd5 exd5 Nb8 Qe1 Nd7 Ba3 O-O Bxe7 Qc8 Bxf8 Qxf8 Re7 Rd8 Ne5 Nxe5 Qxe5 c6 Rxb7 cxd5 cxd5 Qc5 Qe4 g6 Rd1 Rc8 Qe7 Qxe7 Rxe7 a5 d6 a4 d7 Rc1,
100,e4 e6 d4 d5 Nc3 c5 exd5 exd5 Nf3 Nc6 Bb5 Nf6 O-O Be7 dxc5 O-O Bg5 h6 Bxf6 Bxf6 Nxd5 Bxb2 Rb1 Ba3 Re1 Bxc5 Bd3 Be6 c4 b6 Be4 Rc8 Qa4 Ne7 Rbd1 Nxd5 cxd5 Bd7 Qb3 Qf6 Bb1 Bd6 Qd3 g6 h3 Qf4 Re4 Qf6 Qe3 Rfe8 Qxh6 Rxe4 Bxe4 Bf4 Qh4 Qxh4 Nxh4 Bd6 g4 a5 Nf3 b5 Nd4 Rc4 Bg2 Bc5 Nc6 Bxc6 dxc6 Be7 Bd5 Rc5 Kg2 Kg7 Rd3 Kf6 f4 g5 Kf3 Kg6 Ke4 f6 fxg5 fxg5 Rf3 Bf6 Rf5 Rc2 Rf3 Re2+ Re3 Rc2 Kf3 b4 Be4+ Kg7 Bxc2 a4 Bxa4 Kg6 c7,
101,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Ne5 Nc3 Bb4 Bd2 Nf6 f4 Ng6 Bd3 d6 O-O O-O a3 Ba5 b4 Bb6 Be3 c5 Nf5 Bxf5 exf5 Ne7 Kh1 cxb4 Bxb6 Qxb6 axb4 Qxb4 Re1 Nc6 Ne4 Nxe4 Bxe4 Rfe8 Qd3 Rad8 f6 g6 Qh3 Qd4 Qh4 Rxe4 Rxe4 Qxa1+ Re1 Qc3 g4 Qf3+ Kg1 Qxf4 Rf1 Qd4+ Kh1 Ne5 Qh6 Qe4+ Kg1 Qxg4+ Kf2 Qd4+ Ke2 Qc4+ Ke1 Qc3+ Kd1 Qa1+ Kd2 Nc4+ Kd3,
102,e4 e6 d4 d5 e5 c5 c3 Qb6 Nf3 Nc6 a3 Bd7 Be2 Be7 O-O Nh6 dxc5 Bxc5 b4 Be7 Be3 Qc7 c4 dxc4 Bxc4 Nf5 Bf4 O-O Nbd2 Rad8 Qe2 Ncd4 Nxd4 Nxd4 Qg4 Nf5 Rac1 Qb6 Nf3 Bb5 Bg5 Bxc4 Rxc4 Bxg5 Nxg5 Rd4 Rxd4 Qxd4 Qxd4 Nxd4 Rd1 Nc2 Rd7 h6 Ne4 Rb8 Nd6 Nxa3 Rxf7 Nc4 Nxc4 Rc8 Rf4 b5 Ne3 Rc1+ Nf1 Rb1 g3 a5 bxa5 b4 a6 b3 a7 Ra1 Rb4 Rxa7 Rxb3 Kf7 Ne3 Kg6 f4 Rd7 Kf2 h5 h4 Kf7 Rb6 Rc7 Ke2 Rd7 Nc4 Ke7 Nd6 Rc7 Rb7 Rd7 Rxd7+ Kxd7 Kd3 Ke7 Kc4 Kd7 Kc5 Ke7 Kc6 Kd8 Nf7+ Ke7 Ng5 Kd8 Nxe6+ Ke7 Nxg7 Kf7 Nxh5 Ke6 g4 Kf7 f5 Kg8 e6 Kf8 Kd7 Kg8 f6 Kh8 g5 Kg8 g6 Kh8 e7 Kg8 e8=R#,
103,e4 e5 Nf3 d6 d4 Nc6 dxe5 dxe5 Qxd8+ Kxd8 Bb5 Bd6 Nc3 Nd4 Nxd4 exd4 Ne2 c5 Bd2 h5 O-O-O Be6 a3 Nf6 f3 a6 Ba4 b5 Bb3 c4 Ba2 Ke7 c3 d3 Nd4 g6 Rde1 Be5 f4 Bxd4 cxd4 Rhd8 d5 Bd7 h3 Kf8 Bc3 Kg7 Kd2 Re8 Bxf6+ Kxf6 e5+ Kf5 Rhf1 Bc8 Rf3 Bb7 Rg3 Kxf4 Rf3+ Kg5 Rxf7 Bxd5 Rc7 Rf8 Bb1 Bxg2 Rg1 Rf2+ Kd1 Rf1+ Rxf1 Bxf1 Rf7 Bxh3 e6 Bxe6 Re7 Bf5 Kd2,
104,d4 Nf6 c4 g6 Nc3 d5 c5 Bg7 Nf3 O-O Bg5 Re8 Qd2 c6 Bh6 Nbd7 Bxg7 Kxg7 e3 e5 Be2 exd4 exd4 Ne4 Nxe4 dxe4 Ng5 e3 fxe3 Qxg5 h4 Qxe3 Qxe3 Rxe3 Kd2 Re7 Raf1 Nf6 Bc4 Ne4+ Kd3 Ng3 Rxf7+ Rxf7 Bxf7 Kxf7,
105,e4 e6 Nf3 d5 exd5 exd5 d4 Nf6 c4 c6 Nc3 Be6 Bg5 Be7 Qc2 h6 Bf4 O-O O-O-O dxc4 h4 Nd5 Nxd5 cxd5 Ne5 Bd6 g4 Nd7 g5 h5 g6 f6 Nf7 Bxf4+ Kb1 Bxf7 gxf7+ Rxf7 Qf5 Qc7 Qxd5 Rc8 Bh3 Kf8 Be6 Re7 Rh3 Nb6 Qe4 Rce8 d5 Nxd5 Rxd5 Rxe6 Qh7 Re1+ Kc2 R8e2+ Kc3 Be5+ Kb4 Rxb2+ Ka3 b5 Qh8+ Kf7 Qxh5+ Ke7 Qg6 Qa5#,
106,e4 e6 d4 d5 Nc3 dxe4 Nxe4 Bd7 Nf3 Bc6 Bd3 Nd7 O-O Ngf6 Nxf6+ Nxf6 Bg5 Be7 Re1 Bxf3 gxf3 h6 Bxf6 Bxf6 c3 Qd5 Be4 Qh5 Bxb7 Rb8 Bc6+ Ke7 b3 Bg5 Re4 Qg6 Kh1 Rb5 Bxb5,
107,d4 d5 c4 e6 Nf3 Nf6 Bg5 Be7 e3 c6 Bd3 dxc4 Bxc4 h6 Bh4 O-O O-O Nbd7 Nc3 b5 Bb3 a6 a3 Qc7 Qe2 c5 Rac1 c4 Bc2 Nb6 Ne4 Nxe4 Bxe7 Qxe7 Bxe4 Bb7 Bxb7 Qxb7 Rfd1 Rad8 Ne5 Nd7 Qh5 Nxe5 Qxe5 Rd5 Qe4 Rfd8 h4 Qb6 g3 a5 Kg2 Qa6 Qc2 Qc6 f3 Rf5 e4 Rf6 Qc3 g5 hxg5 Rg6 gxh6 Rxh6 Rh1 Rg6 d5 Rxg3+ Kxg3 Qd6+ f4 Kf8 Rh8+ Ke7 Rxd8 Qxd8 Rh1 Qg8+ Kf3 exd5 Qe5+ Kd7 Qxd5+ Kc7 Qxb5 Qd8 Qxa5+ Kd7 Rd1+,
108,d4 d5 c4 dxc4 e3 Nf6 Bxc4 Bf5 Nf3 e6 O-O Bd6 Nc3 c6 Bd2 Nbd7 Rc1 O-O Re1 Nd5 e4 Nxc3 Bxc3 Bg4 Qd3 b5 Bb3 b4 Bd2 c5 d5 exd5 exd5 Bxf3 Qxf3 Ne5 Qe4 a5 Bc2 f5 Qe2 f4 Qe4 Ng6 Qe6+ Kh8 Qh3 Qg5 Bxg6 Qxg6 Re6 Rf6 Rce1 f3 g3 Rxe6 Qxe6 Qxe6 Rxe6 Rd8 Bg5 Rf8 Rxd6 h6 Be3 Kh7 Bxc5 Re8 Re6 Rc8 Rc6 Re8 Be3 Re5 d6 Rd5 Rc1 Rxd6 Kf1 a4 Ke1 b3 a3 h5 Rd1 Re6 Rd4 g5 Kd2 Kg6 Rxa4 Rd6+ Rd4 Rxd4+ Bxd4 Kf5 Kc3 Ke4 Be3 g4 Kxb3 Kd3 a4 Ke2 a5 Kf1 a6 Kg2 a7 Kxh2 a8=Q Kg2 Qe4 Kh3 Kc2 Kg2 Kd1 Kh3 Ke1 Kg2 b4 Kg1 b5 Kg2 b6 Kg1 b7 Kg2 b8=Q Kg1 Qh8 Kh2 Qxh5+ Kg1 Qhxg4 Kh1 Qh7+,
109,e4 e6 d4 d5 e5 c5 c3 Nc6 Nf3 Qb6 b3 cxd4 cxd4 Bb4+ Bd2 Nxd4 Bxb4 Nxf3+ Qxf3 Qxb4+ Nd2 Ne7 Bd3 Bd7 O-O O-O Qh3 h6 Rfd1 Bb5 Bc2 Rac8 a3 Qa5 Rac1 Rc7 a4 Rfc8 axb5 Rxc2 Ra1 Qb4 Ra4 Qc5 Rg4 Rxd2,
110,d4 d5 c4 Nf6 Nc3 e6 Nf3 c5 cxd5 cxd4 Qxd4 Nxd5 Nxd5 exd5 Bf4 Nc6 Qd2 Bb4,
111,d4 d5 c4 dxc4 e3 Be6 Nc3 Nc6 Nf3 Bg4 Bxc4 Qd7 O-O O-O-O h3 Bxf3 Qxf3 Nf6 Bxf7 h5 d5 Ne5 Be6 Nxf3+ gxf3 Qxe6 d6 Rxd6,
112,d4 Nf6 Nf3 e6 e3 b6 Bd3 Bb7 c4 c5 Qc2 Bxf3 gxf3 cxd4 exd4 Nc6 d5 Nb4 Qc3 Rc8 a3 Nfxd5 Qb3 Nxd3+ Qxd3 Qc7 cxd5 Qxc1+ Qd1 Qxb2 dxe6 Rc1 exd7+ Kd8 Nd2 Rxa1 O-O Rxd1 Rxd1 Qc2,
113,d4 d5 c4 e6 Nc3 Bb4 Qc2 c5 Nf3 cxd4 Nxd4 Nc6 e3 Nf6 h3 O-O Nxc6 bxc6 Bd3 Qa5 Bd2 Ba6 O-O dxc4 Be2 Rfd8 Rfd1 Nd5 Nxd5 c5 a3 Bxd2 Rxd2 Rxd5 Rxd5 exd5 e4 dxe4 Qxe4 Rd8 Bxc4 Qd2 Bxa6 Qxb2 Re1 Rf8 Bd3 g6 a4 Qb4 Qxb4 cxb4 Rb1 Rb8 Bb5 a5 Kf1 Kf8 Ke2 Ke7 Kd3 Kd6 Kd4 f5 f4 h5 g3 Re8 Bxe8 Ke7 Bxg6 Kf6 Bxh5 Ke6 Re1+ Kd6 Rd1 Kc6 Ke5 Kc5 Rd5+ Kc4 Rxa5 b3 Bg6 b2 Bxf5 Kc3 Rc5+ Kd2 a5 Kd1 a6 Kd2 a7 Kd1 a8=Q Kd2 Qd5+ Ke1 Qe4+ Kd2 Qd3+ Ke1 Qb1+ Kf2 Rc2+ Kxg3 Qg1+ Kf3 Qf2#,
114,e4 e5 Nf3 Nc6 Bb5 Bc5 Bxc6 dxc6 h3 Nf6 Nc3 Qe7 O-O O-O d4 exd4 Nxd4 Nxe4 Nxe4 Qxe4 Nb3 Bd6 Re1 Qg6 Qf3 Qxc2 Nd4 Qc5 Be3 Qe5 b3 Qh2+ Kf1 Bd7 Nf5 Bxf5 Qxf5 Rae8 g3 Rxe3 fxe3 Bxg3 Red1 Qh1+ Ke2 Qg2+ Kd3 Rd8+ Kc3 Be1+ Kc4 Qe2+ Kc5 Qb5#,
115,d4 d5 Nf3 e6 Bf4 Nf6 e3 a6 Bd3 h6 Ne5 Bd6 h4 Nbd7 Qf3 Nf8 h5 c5 Qg3 Bxe5 dxe5 N6d7 Qxg7 c4 Qxh8 cxd3 cxd3 Nc5 Bxh6 Nxd3+ Ke2 Nc1+ Rxc1,
116,d4 d5 Nf3 Nf6 Bf4 Bg4 Ne5 Bf5 e3 Nbd7 Bd3 Bxd3 Qxd3 e6 Nc3 Be7 O-O O-O Rfd1 c5 Qb5 b6 Nc6 Qe8 Qe2 cxd4 Nb5 Nc5 Nxe7+ Qxe7 Bd6 Qd7 Bxf8 d3 cxd3 Rxf8 d4 Nce4 f3 Ng5 h4 Nxf3+ gxf3 a6 Nc3 b5 Rac1 Qe7 e4 dxe4 Nxe4 Nd5 Qf2 Rd8 Nc5 a5 a3 Nf4 Ne4 Nh3+ Kf1 Nxf2 Kxf2 Qxh4+ Ke3 h5 Rc5 Qe7 Rxh5 f5 Ng5 g6 Rh7 Qxg5+ Kf2 Kxh7 Rh1+ Kg7 Rg1 Qd2+ Kg3 Qxd4 Rg2 Qe5+ Kf2 Rd2+ Kg1 Qe3+ Kh1 Qxf3,
